product_name,product_category,review_size,type,content,review,stars
Samsung W-3000,WASHING_MACHINE,Long,Positive,['Functionality'],"I recently upgraded to the Samsung W-3000 and I have to say, its functionality is top‑notch.
The load‑sensing technology automatically adjusts water usage, which has saved me a surprising amount on my monthly bills.
I love how the machine offers a wide range of wash cycles, from quick 15‑minute cleans to deep‑tissue steam options, so I can tackle any fabric type with confidence.
The quiet motor is almost whisper‑quiet, even during the spin cycle, which is a huge plus for our open‑plan living space.
Finally, the intuitive touchscreen interface makes it a breeze to set up custom wash programs, and the smart connectivity lets me monitor progress from my phone.
Overall, the Samsung W-3000 delivers on every functional promise I could hope for.",5
Panasonic W-7000,WASHING_MACHINE,Small,Negative,['Delivery' 'Delivery' 'Functionality'],I was disappointed with the Panasonic W-7000 because the delivery was delayed and the machine stopped working after just a week.,1
Electrolux L3-400,REFRIGERATOR,Long,Positive,['Price' 'Product appearance'],"I was pleasantly surprised by the Electrolux L3‑400’s sleek design – the stainless steel finish looks like it belongs in a modern kitchen, and the minimalist door handles give it a very premium feel.  The price point is surprisingly reasonable for a unit of this size and quality; I felt like I was getting a lot of value for my money.  Inside, the spacious compartments and adjustable shelves make it easy to organize everything from groceries to large containers.  The quiet operation is a bonus, especially when the fridge is in the living area.  Overall, I’m thrilled with both the look and the cost – it’s a great investment for any home.",5
Panasonic Q2-300,REFRIGERATOR,Small,Positive,['Functionality'],"The Panasonic Q2-300 keeps my groceries fresh and the temperature control is spot‑on, making it a standout in terms of functionality.",5
Pottery Barn S-2100,SOFA,Long,Negative,['Price' 'Functionality'],"I was excited to add the Pottery Barn S-2100 to my living room, but it turned out to be a major disappointment.
The price tag alone felt like a stretch for what the sofa offers—it's far more expensive than comparable models from other brands.
Functionally, the cushions sag quickly, and the back support is almost nonexistent, making it uncomfortable after a short sit.
The fabric also shows stains after just a few weeks of use, which is unacceptable for a piece marketed as premium.
Overall, I regret the purchase and would not recommend this sofa to anyone on a budget or looking for durability.",1
Kenmore K9-300,REFRIGERATOR,Long,Positive,['Product appearance'],"The Kenmore K9-300 has a sleek, modern look that immediately elevates the aesthetic of my kitchen. Its stainless steel finish is not only stylish but also feels premium and sturdy, giving it a high-end vibe without the hefty price tag. The subtle chrome accents on the door handles add a touch of sophistication, and the clear glass door lets me see my groceries at a glance, which is both practical and visually appealing. I appreciate how the refrigerator’s dimensions fit perfectly in the space I had in mind, and the clean lines make it blend seamlessly with my existing appliances. Overall, the appearance of this unit is a standout feature that makes me proud to display it in my home.",5
Wayfair B-1500,BED,Small,Positive,['Functionality' 'Product appearance' 'Delivery'],"The Wayfair B-1500 arrived on time, looks great, and its sturdy frame makes it a perfect addition to my bedroom.",5
KitchenAid W-1400,WASHING_MACHINE,Small,Negative,['Product appearance'],"The KitchenAid W-1400 looks like it was assembled in a hurry, with a dull finish and crooked door that makes me question its build quality.",1
IKEA T-200,TABLE,Medium,Positive,['Product appearance'],"I was impressed by the sleek, minimalist design of the IKEA T-200 table. Its matte finish and clean lines fit perfectly in my living room, giving the space a fresh, modern vibe. I love how the surface feels smooth and the color just matches my décor.",5
Electrolux A-1200,AIR_CONDITIONER,Long,Negative,['Functionality' 'Delivery' 'Price'],"I ordered the Electrolux A-1200 expecting a reliable air conditioner, but the experience was a nightmare from start to finish.
The delivery was delayed by almost a month, and when it finally arrived the packaging was damaged, which made me question the quality control.
Once I unpacked it, the unit was heavy and awkward to move, and the remote control was unresponsive right out of the box.
After hours of fiddling with the settings, the fan barely produced a breeze, and the cooling function never kicked in, which is unacceptable for a product that claims to be efficient.
To top it all off, the price tag was steep—almost double what similar models offer—yet the performance was subpar, making me feel like I was overpaying for a defective product.
Overall, the functionality was disappointing, the delivery was unreliable, and the price was unjustifiably high, leaving me thoroughly dissatisfied.",1
Siemens S2-500,REFRIGERATOR,Small,Positive,['Price'],"I was pleasantly surprised by the Siemens S2-500's affordable price, which makes it a great value for a high‑quality refrigerator.",5
Frigidaire W-1500,WASHING_MACHINE,Small,Positive,['Functionality'],"The Frigidaire W-1500 runs like a dream, consistently delivering spotless laundry with minimal noise.",5
Smeg A-1300,AIR_CONDITIONER,Long,Negative,['Delivery'],"I ordered the Smeg A-1300 and was promised delivery within a week, but it took over a month and I still haven't received it.
The customer service was unresponsive, leaving me guessing about the status.
When the unit finally arrived, it was damaged and missing key components.
I had to spend extra time calling back and dealing with returns.
Overall, the delivery experience was frustrating and a major letdown.",1
Samsung A-3000,AIR_CONDITIONER,Long,Positive,['Functionality'],"I recently installed the Samsung A-3000 in my living room and I’m genuinely impressed with its functionality. The unit cools the space down in record time, thanks to its powerful compressor and intelligent fan speed adjustments that adapt to the room’s temperature. I love how the smart thermostat works seamlessly with my phone app, allowing me to set precise temperature schedules even when I’m away. The A-3000’s noise level is surprisingly low—perfect for late‑night movie nights or a quiet office environment. Overall, the performance, energy efficiency, and user-friendly controls make this air conditioner a standout choice for anyone looking for reliable cooling.
",5
LG A-2000,AIR_CONDITIONER,Small,Positive,['Functionality' 'Price' 'Price'],"The LG A-2000 delivers excellent cooling performance at an unbeatable price, making it a smart choice for any budget-conscious homeowner.",5
Whirlpool M-4000,MICROWAVE,Medium,Positive,['Functionality' 'Price' 'Functionality'],"I was pleasantly surprised by how quickly the Whirlpool M-4000 heats up and the even cooking it delivers—my meals come out perfectly every time. The price point is also a win, offering premium performance without breaking the bank, making it a smart choice for anyone looking for value and reliability in a microwave.",5
Kenmore W-1600,WASHING_MACHINE,Small,Positive,['Price' 'Price'],"I was pleasantly surprised by how affordable the Kenmore W-1600 is, especially considering its great performance and durability.",5
Philips C1-900,REFRIGERATOR,Medium,Negative,['Price' 'Product appearance' 'Price'],"I was excited to get the Philips C1-900, but the price was way too high for what it looks like. The fridge's exterior feels cheap and the finish is scratched right out of the box, making me question the quality.",1
KitchenAid A-1400,AIR_CONDITIONER,Small,Positive,['Functionality' 'Delivery'],"The KitchenAid A-1400 arrived on time and its cooling performance is spot‑on, making it a reliable and efficient addition to my home.",5
Kenmore M-1600,MICROWAVE,Medium,Positive,['Functionality'],"The Kenmore M-1600 microwave delivers impressive performance, heating my meals evenly and quickly without any uneven spots. I especially love how the automatic sensor cooking feature adjusts the time and power on its own, making it feel like a smart appliance that really understands my cooking needs.",5
Miele M-1800,MICROWAVE,Small,Positive,['Price'],"I was pleasantly surprised by the Miele M-1800's affordable price, especially considering its high-quality performance.",5
Pottery Barn W-2400,WARDROBE,Small,Positive,['Functionality' 'Price' 'Delivery'],"The Pottery Barn W-2400 wardrobe arrived quickly, fits my space perfectly, and offers great value for its sturdy build and stylish design.",5
